s,x,y,z
0,0,0,0
0.005,5.6030415938e-12,9.81817484514e-05,0.00499823316344
0.0428663652097,3.87432885514e-10,0.00714944534156,0.042056625799
0.0826255120439,1.27338444566e-09,0.0258863603629,0.0769364958116
0.12392314282,2.32795973733e-09,0.0557021123369,0.105243414735
0.166193163652,2.98516046547e-09,0.0939233750092,0.122827166496
0.2,2.78676632564e-09,0.127332927117,0.127274718785
0.2,2.78676632564e-09,0.127332927117,0.127274718785
0.205,2.69239760493e-09,0.132332921074,0.127272457521
0.255,1.66992406366e-09,0.182332860651,0.127249871264
0.4,-2.0479246565e-09,0.327332685543,0.127184633864
