s,x,y,z
0,0,0,0
0.005,1.92497778432e-22,0.000129376642279,0.0049972791416
0.02,2.9802982636e-21,0.00209468560619,0.0198506593683
0.02,2.9802982636e-21,0.00209468560619,0.0198506593683
0.025,4.56540125645e-21,0.00326378036447,0.0247109888867
0.04,1.08853015744e-20,0.0082827293764,0.0388282488707
0.04,1.08853015744e-20,0.0082827293764,0.0388282488707
0.045,1.34091404223e-20,0.0104388423449,0.0433383262144
0.06,2.17331996537e-20,0.0182867784529,0.0561015073785
0.06,2.17331996537e-20,0.0182867784529,0.0561015073785
0.065,2.46402248124e-20,0.0213336289424,0.0600646325561
0.08,3.32021640922e-20,0.0316602470447,0.0709206795759
0.08,3.32021640922e-20,0.0316602470447,0.0709206795759
0.085,3.58809542878e-20,0.0354618230325,0.0741668691275
0.1,4.28178804785e-20,0.04780644793,0.0826586931309
0.1,4.28178804785e-20,0.04780644793,0.0826586931309
0.105,4.46515140976e-20,0.0521935513094,0.0850551876336
0.12,4.81976126706e-20,0.0660103118279,0.0908528622448
0.12,4.81976126706e-20,0.0660103118279,0.0908528622448
0.125,4.86316723781e-20,0.0707909974157,0.0923140790493
0.14,4.72131407521e-20,0.0854869854638,0.095241314396
0.14,4.72131407521e-20,0.0854869854638,0.095241314396
0.145,4.57613945357e-20,0.0904615033531,0.0957359551219
0.16,3.81228504051e-20,0.105447309857,0.0957830225068
0.16,3.81228504051e-20,0.105447309857,0.0957830225068
0.165,3.44354038579e-20,0.110426283164,0.0953348752294
0.18,1.96804709079e-20,0.125170550803,0.0926465619551
0.18,1.96804709079e-20,0.125170550803,0.0926465619551
0.185,1.34089156611e-20,0.129991892216,0.0913251233957
0.2,-1.04866852917e-20,0.144061512178,0.0861569062005
0.2,-1.04866852917e-20,0.144061512178,0.0861569062005
0.205,-1.96814147318e-20,0.148640231815,0.0841480125095
0.22,-4.72656030524e-20,0.162376390726,0.0781213314366
0.22,-4.72656030524e-20,0.162376390726,0.0781213314366
0.225,-5.64603324925e-20,0.166955110363,0.0761124377456
0.24,-8.40445208131e-20,0.180691269275,0.0700857566727
0.24,-8.40445208131e-20,0.180691269275,0.0700857566727
0.245,-9.32392502532e-20,0.185269988912,0.0680768629818
0.26,-1.20823438574e-19,0.199006147823,0.0620501819088
0.26,-1.20823438574e-19,0.199006147823,0.0620501819088
0.265,-1.30018168014e-19,0.20358486746,0.0600412882179
0.28,-1.57602356334e-19,0.217321026371,0.054014607145
0.28,-1.57602356334e-19,0.217321026371,0.054014607145
0.285,-1.66797085775e-19,0.221899746008,0.052005713454
0.3,-1.94381274095e-19,0.23563590492,0.0459790323811
0.3,-1.94381274095e-19,0.23563590492,0.0459790323811
0.305,-2.03576003535e-19,0.240214624557,0.0439701386901
0.32,-2.31160191856e-19,0.253950783468,0.0379434576172
0.32,-2.31160191856e-19,0.253950783468,0.0379434576172
0.325,-2.40354921296e-19,0.258529503105,0.0359345639262
0.34,-2.67939109617e-19,0.272265662016,0.0299078828533
0.34,-2.67939109617e-19,0.272265662016,0.0299078828533
0.345,-2.77133839057e-19,0.276844381653,0.0278989891624
0.36,-3.04718027377e-19,0.290580540565,0.0218723080895
0.36,-3.04718027377e-19,0.290580540565,0.0218723080895
0.365,-3.13912756817e-19,0.295159260202,0.0198634143985
0.38,-3.41496945138e-19,0.308895419113,0.0138367333256
0.38,-3.41496945138e-19,0.308895419113,0.0138367333256
0.385,-3.50691674578e-19,0.31347413875,0.0118278396346
0.4,-3.78275862899e-19,0.327210297662,0.0058011585617
