s,x,y,z
0,0,0,0
0.0025025025025,0,0,0.0025025025025
0.00950950950951,-9.14050984999e-12,0.000344523855281,0.00950103452782
0.0172772772773,-3.1086335207e-11,0.00117170532364,0.0172246338774
0.02,-4.26637951005e-11,0.00160808263545,0.0199121594803
0.0225025025025,-5.33048427967e-11,0.00200916472351,0.0223823116889
0.0295095095095,-8.7438908587e-11,0.00347085083375,0.029235166635
0.0372772772773,-1.30785534156e-10,0.00552509223222,0.0367263820484
0.04,-1.47755067903e-10,0.00638650117989,0.0393092474436
0.0425025025025,-1.63352065832e-10,0.00717823734503,0.0416832046083
0.0495095095095,-2.04922180648e-10,0.00971914881663,0.0482132824095
0.0572772772773,-2.48141288366e-10,0.0129472014307,0.0552785419529
0.06,-2.62296614395e-10,0.0142113310332,0.0576900135726
0.0625025025025,-2.75307024348e-10,0.015373214859,0.0599064396937
0.0695095095095,-3.08686642244e-10,0.0189275760427,0.0659450375254
0.0772772772773,-3.41625324353e-10,0.0232459166502,0.0724018285621
0.08,-3.51790848928e-10,0.024880070119,0.0745796167669
0.0825025025025,-3.61134161956e-10,0.0263820494102,0.0765812603376
0.0895095095095,-3.81815001035e-10,0.0308579504186,0.0819724065384
0.0972772772773,-3.97569260105e-10,0.0361549414825,0.0876539645785
0.1,-4.00701615425e-10,0.0381168807265,0.0895418240616
0.102502502503,-4.03580618476e-10,0.039920133708,0.0912769890277
0.10950950951,-4.0445321779e-10,0.0452019020786,0.0958814510023
0.117277277277,-3.96102341651e-10,0.0513406701038,0.100641045862
0.12,-3.90100895939e-10,0.0535797041458,0.102190221637
0.122502502503,-3.84584861277e-10,0.0556376398461,0.103614096431
0.12950950951,-3.60911405816e-10,0.0615888201503,0.107312961147
0.137277277277,-3.24085163892e-10,0.068410780378,0.111027671734
0.14,-3.07714547461e-10,0.0708690705171,0.112198153949
0.142502502503,-2.92668025005e-10,0.0731285283655,0.113273964809
0.14950950951,-2.41827679613e-10,0.0795953953564,0.115971700622
0.157277277277,-1.74353226377e-10,0.0869243346893,0.118545581806
0.16,-1.47096517757e-10,0.0895383837425,0.11930713717
0.162502502503,-1.22044395863e-10,0.0919410023576,0.120007096144
0.16950950951,-4.31405629934e-11,0.0987565196111,0.12163401709
0.177277277277,5.54109466688e-11,0.106403135263,0.123000576698
0.18,9.35166186268e-11,0.109105423428,0.123333529698
0.182502502503,1.28540214176e-10,0.111589144167,0.123639552676
0.18950950951,2.35093059168e-10,0.118577268462,0.124153620806
0.197277277277,3.63850249551e-10,0.1263440477,0.12427754157
0.2,4.12364077854e-10,0.129064773623,0.124173284781
0.202502502503,4.56953993574e-10,0.131565440831,0.124077460526
0.20950950951,5.81805757589e-10,0.138567309015,0.123809152612
0.217277277277,7.20212855983e-10,0.14632938003,0.123511714124
0.22,7.68726684286e-10,0.149050105953,0.123407457335
0.222502502503,8.13316600006e-10,0.151550773161,0.12331163308
0.22950950951,9.38168364022e-10,0.158552641344,0.123043325166
0.237277277277,1.07657546242e-09,0.166314712359,0.122745886678
0.24,1.12508929072e-09,0.169035438282,0.122641629888
0.242502502503,1.16967920644e-09,0.17153610549,0.122545805633
0.24950950951,1.29453097045e-09,0.178537973674,0.122277497719
0.257277277277,1.43293806885e-09,0.186300044689,0.121980059232
0.26,1.48145189715e-09,0.189020770612,0.121875802442
0.262502502503,1.52604181287e-09,0.19152143782,0.121779978187
0.26950950951,1.65089357689e-09,0.198523306004,0.121511670273
0.277277277277,1.78930067528e-09,0.206285377018,0.121214231785
0.28,1.83781450358e-09,0.209006102941,0.121109974996
0.282502502503,1.8824044193e-09,0.21150677015,0.121014150741
0.28950950951,2.00725618332e-09,0.218508638333,0.120745842827
0.297277277277,2.14566328171e-09,0.226270709348,0.120448404339
0.3,2.19417711002e-09,0.228991435271,0.12034414755
0.302502502503,2.23876702574e-09,0.231492102479,0.120248323295
0.30950950951,2.36361878975e-09,0.238493970663,0.119980015381
0.317277277277,2.50202588815e-09,0.246256041678,0.119682576893
0.32,2.55053971645e-09,0.2489767676,0.119578320103
0.322502502503,2.59512963217e-09,0.251477434809,0.119482495848
0.32950950951,2.71998139618e-09,0.258479302992,0.119214187934
0.337277277277,2.85838849458e-09,0.266241374007,0.118916749447
0.34,2.90690232288e-09,0.26896209993,0.118812492657
0.342502502503,2.9514922386e-09,0.271462767138,0.118716668402
0.34950950951,3.07634400262e-09,0.278464635322,0.118448360488
0.357277277277,3.21475110101e-09,0.286226706337,0.118150922
0.36,3.26326492931e-09,0.288947432259,0.118046665211
0.362502502503,3.30785484503e-09,0.291448099468,0.117950840956
0.36950950951,3.43270660905e-09,0.298449967651,0.117682533042
0.377277277277,3.57111370744e-09,0.306212038666,0.117385094554
0.38,3.61962753575e-09,0.308932764589,0.117280837765
0.382502502503,3.66421745147e-09,0.311433431797,0.11718501351
0.38950950951,3.78906921548e-09,0.318435299981,0.116916705596
0.397277277277,3.92747631387e-09,0.326197370996,0.116619267108
0.4,3.97599014218e-09,0.328918096918,0.116515010318
