s,x,y,z
0,0,0,0
0.000689655172414,-1.86307840492e-16,1.86257483018e-06,0.000689651818857
0.00137931034483,-7.45225926265e-16,7.4502449784e-06,0.00137928351649
0.00206896551724,-1.67673795037e-15,1.67628474192e-05,0.00206887497226
0.00275862068966,-2.98081673509e-15,2.9800110449e-05,0.00275840606671
0.00344827586207,-4.65742423274e-15,4.65616536936e-05,0.00344785668213
0.00413793103448,-6.70651152675e-15,6.70469881196e-05,0.00413720670317
0.0048275862069,-9.12801883311e-15,9.12555160486e-05,0.00482643601742
0.00551724137931,-1.19218755021e-14,0.000119186531175,0.00551552451597
0.00620689655172,-1.50880000205e-14,0.000150839218585,0.00620445209403
0.00689655172414,-1.86263000136e-14,0.000186212654783,0.00689319865152
0.00758620689655,-2.25366722484e-14,0.000225305807716,0.00758174409361
0.00827586206897,-2.6819002636e-14,0.000268117536806,0.00827006833137
0.00896551724138,-3.14731662356e-14,0.000314646592982,0.00895815128231
0.00965517241379,-3.64990272577e-14,0.000364891618715,0.00964597287097
0.0103448275862,-4.18964390683e-14,0.000418851148061,0.0103335130295
0.0110344827586,-4.76652441928e-14,0.000476523606702,0.0110207516984
0.011724137931,-5.38052743211e-14,0.000537907311989,0.0117076688267
0.0124137931034,-6.03163503121e-14,0.000603000472998,0.012394244373
0.0131034482759,-6.71982821994e-14,0.000671801190576,0.0130804583059
0.0137931034483,-7.44508691961e-14,0.000744307457398,0.0137662906044
0.0144827586207,-8.20738997014e-14,0.000820517158028,0.0144517212588
0.0151724137931,-9.00671513065e-14,0.000900428068979,0.015136730271
0.0158620689655,-9.84303908008e-14,0.000984037858775,0.0158212976552
0.0165517241379,-1.07163374179e-13,0.00107134408802,0.0165054034385
0.0172413793103,-1.16265846649e-13,0.00116234420949,0.0171890276615
0.0179310344828,-1.25737542637e-13,0.00125703556816,0.0178721503789
0.0186206896552,-1.35578185798e-13,0.00135541540132,0.01855475166
0.0193103448276,-1.45787489022e-13,0.00145748083865,0.0192368115891
0.02,-1.56365154443e-13,0.00156322890231,0.0199183102666
0.02,-1.56365154443e-13,0.00156322890231,0.0199183102666
0.0206896551724,-1.67225802789e-13,0.00167265650699,0.0205992278092
0.0213793103448,-1.7828404653e-13,0.00178576046004,0.0212795443504
